cluster,type,feature_group,encoded_col,cluster_prop,overall_prop,lift,cluster_size,feature,cluster_mean,global_mean,effect_size
0,categorical,detailed household summary in household,detailed household summary in household_spouse_partner,0.9776486191293493,0.20904356891185477,4.676769652462182,25636,,,,
0,categorical,detailed household and family stat,detailed household and family stat_spouse_or_partner,0.9921204556092994,0.2131383349288052,4.654819396711053,25636,,,,
0,categorical,major industry code,major industry code_Education,0.13352317054142612,0.041514010916034745,3.2163399198281977,25636,,,,
0,categorical,major occupation code,major occupation code_Adm support including clerical,0.23884381338742394,0.0743623542148023,3.211891499528138,25636,,,,
0,categorical,major industry code,major industry code_Medical except hospital,0.07497269464815104,0.023470978283205445,3.194272251608593,25636,,,,
0,categorical,major industry code,major industry code_Hospital services,0.06272429396161648,0.019867383710148706,3.157149168542786,25636,,,,
0,categorical,major industry code,major industry code_Social services,0.039943828990482134,0.012775469494744967,3.126603605989787,25636,,,,
0,categorical,major occupation code,major occupation code_Professional specialty,0.18688562958339835,0.06986663191712233,2.6748910668126538,25636,,,,
0,categorical,major industry code,major industry code_Finance insurance and real estate,0.08004368856295833,0.03079845431353779,2.5989514846455877,25636,,,,
0,categorical,class of worker,class of worker_government,0.1940240287096271,0.07485853761220511,2.591875755237743,25636,,,,
0,numeric,,,,,,25636,weeks worked in year,0.9231126028815522,-8.831793751522624e-17,0.9231126028815523
0,numeric,,,,,,25636,num persons worked for employer,0.7347969048404501,2.1652139519861916e-17,0.7347969048404501
0,numeric,,,,,,25636,veterans benefits,0.5664084644342295,1.0142317985619529e-16,0.5664084644342294
0,numeric,,,,,,25636,age,0.3060817471228992,3.703655444186907e-17,0.30608174712289915
0,numeric,,,,,,25636,wage per hour,0.2196487496788179,-1.1965656050450007e-17,0.2196487496788179
0,numeric,,,,,,25636,own business or self employed,0.1851044737212193,-6.025562511119468e-17,0.18510447372121935
0,numeric,,,,,,25636,capital losses,-0.13463404318016228,9.68648346941191e-18,-0.13463404318016228
0,numeric,,,,,,25636,capital gains,-0.09061983587252197,2.0227656656713107e-17,-0.090619835872522
0,numeric,,,,,,25636,weight,-0.0018768347515164651,-2.1196305003654296e-16,-0.001876834751516253
1,categorical,education,education_Children,0.8553895314003522,0.23767685930945304,3.5989600918053326,55079,,,,
1,categorical,family members under 18,family members under 18_both,0.6720891809945715,0.1953809836459957,3.4398904563419923,55079,,,,
1,categorical,detailed household and family stat,detailed household and family stat_child_or_grandchild,0.9758347101436119,0.34506297519584206,2.8279901939342302,55079,,,,
1,categorical,detailed household summary in household,detailed household summary in household_child,0.9121080629641061,0.32529081860236664,2.8039772744986724,55079,,,,
1,categorical,tax filer stat,tax filer stat_non filer,0.993681802501861,0.3763676368138009,2.6401892865019683,55079,,,,
1,categorical,marital stat,marital stat_Never married,0.9975126636286061,0.4334587992361783,2.301285993931553,55079,,,,
1,categorical,major industry code,major industry code_Not in universe or children,0.9996368852012564,0.5046235271121625,1.980955765027316,55079,,,,
1,categorical,major occupation code,major occupation code_Not in universe,0.9996368852012564,0.5046235271121625,1.980955765027316,55079,,,,
1,categorical,class of worker,class of worker_not employed,0.999800286860691,0.5054504994411672,1.9780379838700004,55079,,,,
1,categorical,enroll in edu inst last wk,enroll in edu inst last wk_High school,0.06187476170591332,0.034542383584849866,1.7912707602798816,55079,,,,
1,numeric,,,,,,55079,veterans benefits,-1.4397673425122532,1.0142317985619529e-16,-1.4397673425122532
